Mother_Education,Mother_Weight_Gain,Pre-pregnancy_Diabetes,Pre-pregnancy_Hypertension,Bin_Five_min_APGAR_score_code,Average_Age_Mother_years,Average_Birth_Weight_grams,Average_Prenatal_Visits,Average_OE_Gestational_Age_weeks,Average_Pre-pregnancy_BMI
"Bachelor's degree (BA, AB, BS)",7 lbs,Yes,Yes,1,33.45,2961.68,12.67,36.68,34.17
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7 lbs,Yes,Yes,0,37,3670,10,35,39.2
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7 lbs,Yes,Yes,1,37.5,2422.5,12.5,33.5,45.2
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7 lbs,Yes,Yes,1,41,4082,11,37,53.6
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7 lbs,Yes,Yes,1,39,3214.43,17,37.71,43.39
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7 lbs,Yes,Yes,1,41,2889,6,39,30.9
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",7 lbs,Yes,Yes,1,39,2410,10,33,28.9
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",7 lbs,Yes,Yes,1,34.67,3493,14.67,37.33,39.87
8th grade or less,8 lbs,Yes,Yes,1,40,1885,6,32,26.9
8th grade or less,8 lbs,Yes,Yes,1,36.86,2417.43,11.83,35.14,34.46
8th grade or less,8 lbs,Yes,Yes,1,36,2580,8,39,24.6
9th through 12th grade with no diploma,8 lbs,Yes,Yes,0,38,539,2,23,23.2
9th through 12th grade with no diploma,8 lbs,Yes,Yes,0,26,2013,7,34,34.7
9th through 12th grade with no diploma,8 lbs,Yes,Yes,1,29,3147,12,35,58.7
9th through 12th grade with no diploma,8 lbs,Yes,Yes,1,33,2608,16,33,51.4
9th through 12th grade with no diploma,8 lbs,Yes,Yes,1,33.6,3300.8,14.6,37.4,34.35
9th through 12th grade with no diploma,8 lbs,Yes,Yes,1,30.71,2881.21,12.54,36.88,38.62
High school graduate or GED completed,8 lbs,Yes,Yes,0,28,717.5,3.5,26,39.35
High school graduate or GED completed,8 lbs,Yes,Yes,0,31.5,1705,10,31,40.8
High school graduate or GED completed,8 lbs,Yes,Yes,0,29,3232,10,39,48.5
High school graduate or GED completed,8 lbs,Yes,Yes,1,25,690,8,24,53.1
High school graduate or GED completed,8 lbs,Yes,Yes,1,29.33,620,8,24.67,45.9
High school graduate or GED completed,8 lbs,Yes,Yes,1,29.8,3138.9,10.6,36.1,38.2
High school graduate or GED completed,8 lbs,Yes,Yes,1,32.45,3151.77,13.98,36.89,39.43
"Some college credit, but not a degree",8 lbs,Yes,Yes,0,34,1190,20,28,49.1
"Some college credit, but not a degree",8 lbs,Yes,Yes,1,33.5,2005,7.5,32,46.75
"Some college credit, but not a degree",8 lbs,Yes,Yes,1,32.33,2209.33,10.33,32.67,37.23
"Some college credit, but not a degree",8 lbs,Yes,Yes,1,31.4,2599.4,17.2,33.8,42.82
"Some college credit, but not a degree",8 lbs,Yes,Yes,1,33.73,2854.36,13.73,34.09,40.07
"Some college credit, but not a degree",8 lbs,Yes,Yes,1,31.71,3063.38,14.17,36.49,38.34
"Some college credit, but not a degree",8 lbs,Yes,Yes,1,22,3610,12,39,60.8
"Associate degree (AA, AS)",8 lbs,Yes,Yes,0,26,415,10,27,44.9
"Associate degree (AA, AS)",8 lbs,Yes,Yes,1,33.5,1842,9,32.5,38.3
"Associate degree (AA, AS)",8 lbs,Yes,Yes,1,36,1640,21,32,50.2
"Associate degree (AA, AS)",8 lbs,Yes,Yes,1,34.89,2423.44,10,34.22,40
"Associate degree (AA, AS)",8 lbs,Yes,Yes,1,34.46,2980.92,11.31,36.46,37.15
"Associate degree (AA, AS)",8 lbs,Yes,Yes,1,27,3740,32,39,38.4
"Bachelor's degree (BA, AB, BS)",8 lbs,Yes,Yes,1,28,3260,17,39,31.6
"Bachelor's degree (BA, AB, BS)",8 lbs,Yes,Yes,1,32,2300,20,37,39.7
"Bachelor's degree (BA, AB, BS)",8 lbs,Yes,Yes,1,34.87,3175.61,16.68,37.61,37.45
"Bachelor's degree (BA, AB, BS)",8 lbs,Yes,Yes,1,42,3215,10,38,39.5
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",8 lbs,Yes,Yes,1,28,920,6,25,36.4
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",8 lbs,Yes,Yes,1,33,1999,12,32,35.7
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",8 lbs,Yes,Yes,1,38.14,2712.57,13.14,37.71,41.31
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8 lbs,Yes,Yes,1,29,3004,15,37,29.6
8th grade or less,9 lbs,Yes,Yes,1,41,2107,12.5,33.5,28.45
8th grade or less,9 lbs,Yes,Yes,1,38,3620,9,36,28.7
8th grade or less,9 lbs,Yes,Yes,1,30,3657,10,36,44.4
8th grade or less,9 lbs,Yes,Yes,1,39.33,3637.33,14,37.67,40.96
8th grade or less,9 lbs,Yes,Yes,1,40,2126,8,37,27.1
9th through 12th grade with no diploma,9 lbs,Yes,Yes,1,41,1380,27,30,30.8
9th through 12th grade with no diploma,9 lbs,Yes,Yes,1,33,945,8,27,47.6
9th through 12th grade with no diploma,9 lbs,Yes,Yes,1,32.29,2374.86,10.57,33.86,33.9
9th through 12th grade with no diploma,9 lbs,Yes,Yes,1,31.76,3166.29,13.12,36.06,39.55
High school graduate or GED completed,9 lbs,Yes,Yes,0,32,962.5,7.5,26.5,45.8
High school graduate or GED completed,9 lbs,Yes,Yes,0,34,4570,15,38,38
High school graduate or GED completed,9 lbs,Yes,Yes,0,29,770,7,27,26.3
High school graduate or GED completed,9 lbs,Yes,Yes,1,30.5,2470,24,33,51.3
High school graduate or GED completed,9 lbs,Yes,Yes,1,30.5,4041,10,37.5,37.75
High school graduate or GED completed,9 lbs,Yes,Yes,1,30.75,1848.5,15,32.25,39.7
High school graduate or GED completed,9 lbs,Yes,Yes,1,32.36,3039.07,12.4,36.73,38.95
High school graduate or GED completed,9 lbs,Yes,Yes,1,30,2268,20,38,30.3
"Some college credit, but not a degree",9 lbs,Yes,Yes,0,37,642.5,13,25,28
"Some college credit, but not a degree",9 lbs,Yes,Yes,0,37,2970,8,33,58.4
"Some college credit, but not a degree",9 lbs,Yes,Yes,1,23,2980,8,34,35.2
"Some college credit, but not a degree",9 lbs,Yes,Yes,1,32.8,2150.2,9.4,30.6,39.76
"Some college credit, but not a degree",9 lbs,Yes,Yes,1,34.43,2797.29,12,35.14,40.74
"Some college credit, but not a degree",9 lbs,Yes,Yes,1,33.93,3147.19,15.15,37.22,37.42
"Associate degree (AA, AS)",9 lbs,Yes,Yes,1,37,2170,14,36,28.7
"Associate degree (AA, AS)",9 lbs,Yes,Yes,1,34.43,3287.86,13.29,36.29,39.89
"Associate degree (AA, AS)",9 lbs,Yes,Yes,1,35.53,3184.53,14.35,37.41,39.46
"Associate degree (AA, AS)",9 lbs,Yes,Yes,1,19,3231,11,38,39.5
"Bachelor's degree (BA, AB, BS)",9 lbs,Yes,Yes,1,27,3520,13,36,46.9
"Bachelor's degree (BA, AB, BS)",9 lbs,Yes,Yes,1,38.14,3443.71,15,36.71,41.83
"Bachelor's degree (BA, AB, BS)",9 lbs,Yes,Yes,1,33.19,3098.42,15.84,37.81,39.74
"Bachelor's degree (BA, AB, BS)",9 lbs,Yes,Yes,1,37,3995,14,36,30.7
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",9 lbs,Yes,Yes,1,36.33,3362,15.33,37.33,42.5
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",9 lbs,Yes,Yes,1,37,3251.07,17.57,36.79,36.29
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",9 lbs,Yes,Yes,1,41.5,2452.5,19,34,40.15
8th grade or less,10 lbs,Yes,Yes,1,28,1535,9,33,41.3
8th grade or less,10 lbs,Yes,Yes,1,40.5,3931,8.5,37,32.4
8th grade or less,10 lbs,Yes,Yes,1,36.55,2988.64,10.91,36.36,33.9
9th through 12th grade with no diploma,10 lbs,Yes,Yes,0,36,1941,12,33,51.3
9th through 12th grade with no diploma,10 lbs,Yes,Yes,1,17,907,5,31,23
9th through 12th grade with no diploma,10 lbs,Yes,Yes,1,35.5,3690,10.5,37.5,38.9
9th through 12th grade with no diploma,10 lbs,Yes,Yes,1,30.4,1025.2,4.6,27.4,28.4
9th through 12th grade with no diploma,10 lbs,Yes,Yes,1,33.8,2400.8,13.4,34,33.1
9th through 12th grade with no diploma,10 lbs,Yes,Yes,1,33.71,3268.71,10.59,36.94,39.75
9th through 12th grade with no diploma,10 lbs,Yes,Yes,1,35,4380,12,39,46.7
High school graduate or GED completed,10 lbs,Yes,Yes,0,25,1245,12,28,65.5
High school graduate or GED completed,10 lbs,Yes,Yes,0,26,3640,6,36,45.8
High school graduate or GED completed,10 lbs,Yes,Yes,0,37,4910,7,36,36
High school graduate or GED completed,10 lbs,Yes,Yes,1,29.5,4125,9.5,36.5,41.55
High school graduate or GED completed,10 lbs,Yes,Yes,1,34,2030,16.67,34.75,42.77
High school graduate or GED completed,10 lbs,Yes,Yes,1,33.67,2442.67,10.58,32.92,38.12
High school graduate or GED completed,10 lbs,Yes,Yes,1,35.33,2787.1,13.58,35.1,40.85
High school graduate or GED completed,10 lbs,Yes,Yes,1,33.02,3097.3,13.25,36.8,39.26
High school graduate or GED completed,10 lbs,Yes,Yes,1,36,3005,12,37,28.7
"Some college credit, but not a degree",10 lbs,Yes,Yes,0,36,3515,22,38,30.6
"Some college credit, but not a degree",10 lbs,Yes,Yes,0,33.33,2387,8.33,32.33,41.3
"Some college credit, but not a degree",10 lbs,Yes,Yes,1,28,2182,15,33,30
"Some college credit, but not a degree",10 lbs,Yes,Yes,1,29,3230,14.12,36,42.86
"Some college credit, but not a degree",10 lbs,Yes,Yes,1,33.86,2733.1,14,35.62,38.39
"Some college credit, but not a degree",10 lbs,Yes,Yes,1,32.69,3089.88,13.25,36.73,39.2
"Some college credit, but not a degree",10 lbs,Yes,Yes,1,44,3660,9,37,44.1
"Associate degree (AA, AS)",10 lbs,Yes,Yes,0,34,464,7,21,40.8
"Associate degree (AA, AS)",10 lbs,Yes,Yes,0,34,328,7,20,40.8
"Associate degree (AA, AS)",10 lbs,Yes,Yes,0,36,1276,14,29,29.9
"Associate degree (AA, AS)",10 lbs,Yes,Yes,1,33,3279.5,12.5,37.5,44.55
"Associate degree (AA, AS)",10 lbs,Yes,Yes,1,35.5,2840,1,36,35.65
"Associate degree (AA, AS)",10 lbs,Yes,Yes,1,33,2687.33,7.67,33.67,31.43
"Associate degree (AA, AS)",10 lbs,Yes,Yes,1,31.3,2849.2,13.3,35.9,38.25
"Associate degree (AA, AS)",10 lbs,Yes,Yes,1,34.48,3059.48,13.19,36.78,38.42
"Associate degree (AA, AS)",10 lbs,Yes,Yes,1,42,2296,26,37,33.8
"Bachelor's degree (BA, AB, BS)",10 lbs,Yes,Yes,1,38.5,2270,11,34,29.15
"Bachelor's degree (BA, AB, BS)",10 lbs,Yes,Yes,1,37,2894.43,13.29,34.29,39.83
"Bachelor's degree (BA, AB, BS)",10 lbs,Yes,Yes,1,34.04,3129.88,15.56,37.35,36.53
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",10 lbs,Yes,Yes,1,36,2535,9,37,57.8
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",10 lbs,Yes,Yes,1,30,2295,9,36,39.05
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",10 lbs,Yes,Yes,1,34.08,3229.92,12,37.25,35.92
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",10 lbs,Yes,Yes,1,36,2920,14,39,32.9
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",10 lbs,Yes,Yes,1,37.2,3123.2,15.4,37.2,37.54
8th grade or less,11 lbs,Yes,Yes,0,33,590,4,27,30.3
8th grade or less,11 lbs,Yes,Yes,1,40,3950,13,38,25.4
8th grade or less,11 lbs,Yes,Yes,1,39,3180.4,12.6,37.8,36.68
9th through 12th grade with no diploma,11 lbs,Yes,Yes,1,36,2608,11,36,22.8
9th through 12th grade with no diploma,11 lbs,Yes,Yes,1,42,1880,3,32,32.9
9th through 12th grade with no diploma,11 lbs,Yes,Yes,1,33.78,2590.22,14.78,35.78,33.28
9th through 12th grade with no diploma,11 lbs,Yes,Yes,1,36.75,2873.62,14.06,36.81,34.91
High school graduate or GED completed,11 lbs,Yes,Yes,0,29,368,3,21,52.3
High school graduate or GED completed,11 lbs,Yes,Yes,0,29.67,852,6.33,27.67,33.47
High school graduate or GED completed,11 lbs,Yes,Yes,0,25,2580,21,35,34.7
High school graduate or GED completed,11 lbs,Yes,Yes,1,31.5,3114,15,37,34
High school graduate or GED completed,11 lbs,Yes,Yes,1,27.5,765.5,11.5,27.5,32.75
High school graduate or GED completed,11 lbs,Yes,Yes,1,37,4516.5,7.5,37,34.5
High school graduate or GED completed,11 lbs,Yes,Yes,1,32.86,3138.43,11,36.57,40.54
High school graduate or GED completed,11 lbs,Yes,Yes,1,32.4,3218.85,12.58,37.37,38.77
High school graduate or GED completed,11 lbs,Yes,Yes,1,38,2628,22,38,38.2
"Some college credit, but not a degree",11 lbs,Yes,Yes,0,33.5,2325,11,33,39.3
"Some college credit, but not a degree",11 lbs,Yes,Yes,1,34.5,2495,7.5,37.5,50.5
"Some college credit, but not a degree",11 lbs,Yes,Yes,1,30.33,2706.33,10,33,36.87
"Some college credit, but not a degree",11 lbs,Yes,Yes,1,33.6,2037,10,32.6,40.84
"Some college credit, but not a degree",11 lbs,Yes,Yes,1,29.67,2840.58,13.25,36.58,42.72
"Some college credit, but not a degree",11 lbs,Yes,Yes,1,32.04,2743.26,12.54,35.9,37.92
"Associate degree (AA, AS)",11 lbs,Yes,Yes,1,29,2012,10,33,33.7
"Associate degree (AA, AS)",11 lbs,Yes,Yes,1,35,1789.67,8,31.33,40.87
"Associate degree (AA, AS)",11 lbs,Yes,Yes,1,34.33,3485.33,13,36.67,42.53
"Associate degree (AA, AS)",11 lbs,Yes,Yes,1,32.61,3320.89,12.44,37.5,38.67
"Associate degree (AA, AS)",11 lbs,Yes,Yes,1,36,3050,12,39,41.6
"Bachelor's degree (BA, AB, BS)",11 lbs,Yes,Yes,0,46,3317,11,37,39
"Bachelor's degree (BA, AB, BS)",11 lbs,Yes,Yes,1,33,2309.6,13.8,32.6,43.88
"Bachelor's degree (BA, AB, BS)",11 lbs,Yes,Yes,1,34.25,2599.38,16.88,35.62,39.45
"Bachelor's degree (BA, AB, BS)",11 lbs,Yes,Yes,1,34.03,2965.5,13.77,36.56,35.14
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",11 lbs,Yes,Yes,1,32,1350,8,29,37.4
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",11 lbs,Yes,Yes,1,34,3208,27,39,35.1
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",11 lbs,Yes,Yes,1,37,2829,12.5,37.25,37.15
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",11 lbs,Yes,Yes,1,35.43,3148.43,14,37.29,39.69
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",11 lbs,Yes,Yes,1,30,3940,19,38,45.6
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",11 lbs,Yes,Yes,1,32.33,2891.67,18.33,37.67,32.17
8th grade or less,12 lbs,Yes,Yes,0,29,1332,2,33,20.2
8th grade or less,12 lbs,Yes,Yes,0,35,3345,8,36,40.3
8th grade or less,12 lbs,Yes,Yes,1,38,3498,18,38,35.4
8th grade or less,12 lbs,Yes,Yes,1,33.4,3111,10,37,33.86
8th grade or less,12 lbs,Yes,Yes,1,37.33,2965.33,13.11,36.22,34.88
9th through 12th grade with no diploma,12 lbs,Yes,Yes,0,32,3400,14,38,52
9th through 12th grade with no diploma,12 lbs,Yes,Yes,0,34,1515,10,32,33.1
9th through 12th grade with no diploma,12 lbs,Yes,Yes,0,28,964,10,27,23.3
9th through 12th grade with no diploma,12 lbs,Yes,Yes,0,31,3570,13,36,47
9th through 12th grade with no diploma,12 lbs,Yes,Yes,1,29.5,2444,9,34,42.5
9th through 12th grade with no diploma,12 lbs,Yes,Yes,1,38.5,2768.5,7,33.5,38.75
9th through 12th grade with no diploma,12 lbs,Yes,Yes,1,31.43,2175.57,11.29,34,37.27
9th through 12th grade with no diploma,12 lbs,Yes,Yes,1,31.46,3052.41,13.22,37.11,38.38
High school graduate or GED completed,12 lbs,Yes,Yes,0,36,1077.5,9,30.5,30
High school graduate or GED completed,12 lbs,Yes,Yes,1,33,2780,14.67,33.33,33.57
High school graduate or GED completed,12 lbs,Yes,Yes,1,33,2835,15,34.5,42.15
High school graduate or GED completed,12 lbs,Yes,Yes,1,29.94,2431.61,10.76,33.72,37.53
High school graduate or GED completed,12 lbs,Yes,Yes,1,32.41,3159.05,13.07,37.06,37.98
"Some college credit, but not a degree",12 lbs,Yes,Yes,0,40,3590,12,39,50.6
"Some college credit, but not a degree",12 lbs,Yes,Yes,0,23,3373,6,37,41.1
"Some college credit, but not a degree",12 lbs,Yes,Yes,0,38,2722,13,35,60.7
"Some college credit, but not a degree",12 lbs,Yes,Yes,1,29,2693,13,39,30.5
"Some college credit, but not a degree",12 lbs,Yes,Yes,1,30,2005,13,34,40.2
"Some college credit, but not a degree",12 lbs,Yes,Yes,1,33.14,1889,8.57,31.43,42.31
"Some college credit, but not a degree",12 lbs,Yes,Yes,1,31.82,2652.41,15.59,34.71,35.08
"Some college credit, but not a degree",12 lbs,Yes,Yes,1,32.74,3065.85,14.61,36.83,40.69
"Some college credit, but not a degree",12 lbs,Yes,Yes,1,39,3316,4,38,33.3
"Associate degree (AA, AS)",12 lbs,Yes,Yes,0,26,2840,19,37,29
"Associate degree (AA, AS)",12 lbs,Yes,Yes,1,30,1956,13,32,43.3
"Associate degree (AA, AS)",12 lbs,Yes,Yes,1,37,3175,18,36,50.4
"Associate degree (AA, AS)",12 lbs,Yes,Yes,1,28.83,2969.67,15.5,35.67,35.75
"Associate degree (AA, AS)",12 lbs,Yes,Yes,1,33.86,2946.38,16,36.62,38.65
"Bachelor's degree (BA, AB, BS)",12 lbs,Yes,Yes,0,42,720,4,24,47.9
"Bachelor's degree (BA, AB, BS)",12 lbs,Yes,Yes,1,42,539,5,25,25
"Bachelor's degree (BA, AB, BS)",12 lbs,Yes,Yes,1,34.67,2239.33,12.67,34.33,51.83
"Bachelor's degree (BA, AB, BS)",12 lbs,Yes,Yes,1,34.38,2375.75,12.25,35.12,35.96
"Bachelor's degree (BA, AB, BS)",12 lbs,Yes,Yes,1,35.29,3175.38,13.67,37.38,37.8
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",12 lbs,Yes,Yes,0,37,2050,8,32,28.3
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",12 lbs,Yes,Yes,1,36,2525,15,34,31.6
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",12 lbs,Yes,Yes,1,39.2,2229.2,13.2,33.8,39.8
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",12 lbs,Yes,Yes,1,34.5,2736.5,12.29,36.07,34.81
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",12 lbs,Yes,Yes,1,41.67,1993,11.33,33.67,32.33
8th grade or less,13 lbs,Yes,Yes,1,41,1900,10,32,26.9
8th grade or less,13 lbs,Yes,Yes,1,39.5,2516,8.5,35,37.05
8th grade or less,13 lbs,Yes,Yes,1,37.36,3254.09,11.82,37.73,31.41
9th through 12th grade with no diploma,13 lbs,Yes,Yes,0,35,1106,16,26,46.7
9th through 12th grade with no diploma,13 lbs,Yes,Yes,1,29,662,7,27,28.1
9th through 12th grade with no diploma,13 lbs,Yes,Yes,1,29,2657.33,11,34.67,37.8
9th through 12th grade with no diploma,13 lbs,Yes,Yes,1,27.5,2606.17,12.67,34.67,31.77
9th through 12th grade with no diploma,13 lbs,Yes,Yes,1,32.75,3075.75,12.95,37.12,39.24
High school graduate or GED completed,13 lbs,Yes,Yes,0,29.5,365,2.5,19,40.6
High school graduate or GED completed,13 lbs,Yes,Yes,0,23,265,17,21,27
High school graduate or GED completed,13 lbs,Yes,Yes,0,39,2692,23,36,63.1
High school graduate or GED completed,13 lbs,Yes,Yes,0,33,950,5,29,20.1
High school graduate or GED completed,13 lbs,Yes,Yes,1,29.5,3160.5,13.25,36.25,38.85
High school graduate or GED completed,13 lbs,Yes,Yes,1,32.67,2295,10.33,35.33,38.93
High school graduate or GED completed,13 lbs,Yes,Yes,1,31.5,2518.5,12.33,34,37.75
High school graduate or GED completed,13 lbs,Yes,Yes,1,32.6,2920.3,10.15,35.25,38.82
High school graduate or GED completed,13 lbs,Yes,Yes,1,32.08,3180.22,12.3,37.29,40.13
High school graduate or GED completed,13 lbs,Yes,Yes,1,23,3345,18,38,35.6
"Some college credit, but not a degree",13 lbs,Yes,Yes,0,28,2880,10,39,44.1
"Some college credit, but not a degree",13 lbs,Yes,Yes,0,28,2260,24,32,26.9
"Some college credit, but not a degree",13 lbs,Yes,Yes,1,35,3289,11,36,34
"Some college credit, but not a degree",13 lbs,Yes,Yes,1,39,3380,14,37,29.4
"Some college credit, but not a degree",13 lbs,Yes,Yes,1,29.6,2229.4,8.75,32.6,40.06
"Some college credit, but not a degree",13 lbs,Yes,Yes,1,33.94,2805.47,14.76,36,36.79
"Some college credit, but not a degree",13 lbs,Yes,Yes,1,32.36,3097.33,13.81,37.15,39.93
"Some college credit, but not a degree",13 lbs,Yes,Yes,1,26,3495,10,39,24.6
"Associate degree (AA, AS)",13 lbs,Yes,Yes,0,36,1750,14,32,41.6
"Associate degree (AA, AS)",13 lbs,Yes,Yes,1,33,370,11,24,28.3
"Associate degree (AA, AS)",13 lbs,Yes,Yes,1,26,1840,7,34,55.6
"Associate degree (AA, AS)",13 lbs,Yes,Yes,1,41,2257,14,39,35.5
"Associate degree (AA, AS)",13 lbs,Yes,Yes,1,33,2834.25,13.5,35.75,33.32
"Associate degree (AA, AS)",13 lbs,Yes,Yes,1,33.79,3319.62,17.12,37.21,38.28
"Bachelor's degree (BA, AB, BS)",13 lbs,Yes,Yes,0,38,425,4,21,35.9
"Bachelor's degree (BA, AB, BS)",13 lbs,Yes,Yes,1,37.5,2883.5,34,36,41.6
"Bachelor's degree (BA, AB, BS)",13 lbs,Yes,Yes,1,34.29,2503.86,11,34.57,39.61
"Bachelor's degree (BA, AB, BS)",13 lbs,Yes,Yes,1,34.68,3121.94,13.6,37,38.78
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",13 lbs,Yes,Yes,1,33,1940,17.5,34.5,40.9
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",13 lbs,Yes,Yes,1,34.4,2437.2,12.8,34,31.06
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",13 lbs,Yes,Yes,1,34.14,3022.5,12.93,37.57,35.73
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",13 lbs,Yes,Yes,1,39,2939,10,38,33.3
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",13 lbs,Yes,Yes,1,37,2268,10,36,24.7
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",13 lbs,Yes,Yes,1,36,2926.67,11,36.33,38.43
8th grade or less,14 lbs,Yes,Yes,1,37,3402,20,38,26
8th grade or less,14 lbs,Yes,Yes,1,38.78,3497.33,14.75,37.44,35.08
9th through 12th grade with no diploma,14 lbs,Yes,Yes,0,40,510,3,28,31.2
9th through 12th grade with no diploma,14 lbs,Yes,Yes,1,34.5,1579.5,9,32,34.6
9th through 12th grade with no diploma,14 lbs,Yes,Yes,1,35,3391.67,15,36,36.97
9th through 12th grade with no diploma,14 lbs,Yes,Yes,1,33.75,2203,11.86,32.62,34.1
9th through 12th grade with no diploma,14 lbs,Yes,Yes,1,33.65,3165.87,12.65,37.22,37.79
9th through 12th grade with no diploma,14 lbs,Yes,Yes,1,32,4026,16,39,29.3
High school graduate or GED completed,14 lbs,Yes,Yes,0,36,310,4,20,50.1
High school graduate or GED completed,14 lbs,Yes,Yes,0,21,2980,16,34,28
High school graduate or GED completed,14 lbs,Yes,Yes,1,23,1220,7,27,35.7
High school graduate or GED completed,14 lbs,Yes,Yes,1,35.5,1725,8,33.5,34.1
High school graduate or GED completed,14 lbs,Yes,Yes,1,33.5,2661.75,19.25,36.75,46.77
High school graduate or GED completed,14 lbs,Yes,Yes,1,30.86,2645.43,16.07,35.07,39.54
High school graduate or GED completed,14 lbs,Yes,Yes,1,33.33,3075.06,15.79,36.76,39.13
High school graduate or GED completed,14 lbs,Yes,Yes,1,21,3684,7,35,36.9
"Some college credit, but not a degree",14 lbs,Yes,Yes,1,26,4734,14,36,40.1
"Some college credit, but not a degree",14 lbs,Yes,Yes,1,39.33,2801.33,14.33,34.33,38.17
"Some college credit, but not a degree",14 lbs,Yes,Yes,1,32.78,3534.56,12.78,36.67,42.44
"Some college credit, but not a degree",14 lbs,Yes,Yes,1,34.93,3009.36,12.57,36.21,37.01
"Some college credit, but not a degree",14 lbs,Yes,Yes,1,32.26,2834.57,14.81,35.98,36.49
"Some college credit, but not a degree",14 lbs,Yes,Yes,1,43,3288,2,39,39.6
"Associate degree (AA, AS)",14 lbs,Yes,Yes,1,32,2379,5,35,47.4
"Associate degree (AA, AS)",14 lbs,Yes,Yes,1,33.5,2135,11,32.5,38.8
"Associate degree (AA, AS)",14 lbs,Yes,Yes,1,37,3260,13,37,28.3
"Associate degree (AA, AS)",14 lbs,Yes,Yes,1,35.38,3205.71,14.35,37.19,36
"Bachelor's degree (BA, AB, BS)",14 lbs,Yes,Yes,0,31,2647.5,15,31,37.35
"Bachelor's degree (BA, AB, BS)",14 lbs,Yes,Yes,1,27,3033,13,39,37.8
"Bachelor's degree (BA, AB, BS)",14 lbs,Yes,Yes,1,34.29,2497.14,12.43,33.71,38.59
"Bachelor's degree (BA, AB, BS)",14 lbs,Yes,Yes,1,36.67,3083.38,11.21,36.79,36.15
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",14 lbs,Yes,Yes,1,40.5,3350,13,36,38.25
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",14 lbs,Yes,Yes,1,36,3362.75,16.75,36.25,37.83
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",14 lbs,Yes,Yes,1,36.88,2978.29,14.94,35.88,36.55
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",14 lbs,Yes,Yes,1,37,3850,8,37,42
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",14 lbs,Yes,Yes,1,44,3005,12,38,25.6
8th grade or less,15 lbs,Yes,Yes,1,39,1270,12,32,23.6
8th grade or less,15 lbs,Yes,Yes,1,37.4,2098.4,11,33.6,33.34
8th grade or less,15 lbs,Yes,Yes,1,33.71,2865.07,10.29,36.21,34.53
9th through 12th grade with no diploma,15 lbs,Yes,Yes,0,34.33,680.67,4,25.33,35.7
9th through 12th grade with no diploma,15 lbs,Yes,Yes,0,39,2459,7,36,36.2
9th through 12th grade with no diploma,15 lbs,Yes,Yes,0,29,2355,6,36,31.8
9th through 12th grade with no diploma,15 lbs,Yes,Yes,1,43,770,10,26,26.4
9th through 12th grade with no diploma,15 lbs,Yes,Yes,1,33,1910,0,32,39.9
9th through 12th grade with no diploma,15 lbs,Yes,Yes,1,35,3265.5,11.83,36.33,33.37
